comparator,model,noise,regime,treatment,rep,level,m,u
jw_tf,address_heavy,severe,split,none,2,Jaro-Winkler distance of street_name >= 0.92,0.6523486362106818,0.0010215429078572116
jw_tf,address_heavy,severe,split,none,2,Jaro-Winkler distance of street_name >= 0.7,0.24114819533012816,0.008198120513803623
jw_tf,address_heavy,severe,split,none,2,All other comparisons,0.009929335465506253,0.9907438665418157
jw_tf,address_heavy,severe,split,abbreviate,0,Exact match on street_name,0.6289327482540963,0.0007182637515324036
jw_tf,address_heavy,severe,split,abbreviate,0,Jaro-Winkler distance of street_name >= 0.92,0.22464173676508287,0.00048391145441118724
jw_tf,address_heavy,severe,split,abbreviate,0,Jaro-Winkler distance of street_name >= 0.7,0.1416659872177798,0.012841880942783667
jw_tf,address_heavy,severe,split,abbreviate,0,All other comparisons,0.004759527763041096,0.9859559438512727
jw_tf,address_heavy,severe,split,abbreviate,1,Exact match on street_name,0.6212394517067653,0.0008669591278286931
jw_tf,address_heavy,severe,split,abbreviate,1,Jaro-Winkler distance of street_name >= 0.92,0.23160989152474898,0.00039998648694300866
jw_tf,address_heavy,severe,split,abbreviate,1,Jaro-Winkler distance of street_name >= 0.7,0.14202485623644315,0.01308662352140613
jw_tf,address_heavy,severe,split,abbreviate,1,All other comparisons,0.005125800532042611,0.9856464308638222
jw_tf,address_heavy,severe,split,abbreviate,2,Exact match on street_name,0.6232085602135451,0.0009749883669812509
jw_tf,address_heavy,severe,split,abbreviate,2,Jaro-Winkler distance of street_name >= 0.92,0.2266521274391366,0.0004327568669088391
jw_tf,address_heavy,severe,split,abbreviate,2,Jaro-Winkler distance of street_name >= 0.7,0.1456728135637282,0.01303626502544696
jw_tf,address_heavy,severe,split,abbreviate,2,All other comparisons,0.0044664987835900845,0.9855559897406629
jw_tf,address_heavy,severe,split,expand,0,Exact match on street_name,0.6290789106942786,0.0008047662651437901
jw_tf,address_heavy,severe,split,expand,0,Jaro-Winkler distance of street_name >= 0.92,0.21983814075438912,0.0004535059834421065
jw_tf,address_heavy,severe,split,expand,0,Jaro-Winkler distance of street_name >= 0.7,0.1437726706953038,0.026854764610300064
jw_tf,address_heavy,severe,split,expand,0,All other comparisons,0.007310277856028568,0.971886963141114
jw_tf,address_heavy,severe,split,expand,1,Exact match on street_name,0.6212018159925602,0.0008259404475858502
jw_tf,address_heavy,severe,split,expand,1,Jaro-Winkler distance of street_name >= 0.92,0.22359452176205857,0.00040784556402682226
jw_tf,address_heavy,severe,split,expand,1,Jaro-Winkler distance of street_name >= 0.7,0.14978589597059985,0.02570606692032121
jw_tf,address_heavy,severe,split,expand,1,All other comparisons,0.005417766274781326,0.9730601470680661
jw_tf,address_heavy,severe,split,expand,2,Exact match on street_name,0.6231106432413387,0.0008209868666676118
jw_tf,address_heavy,severe,split,expand,2,Jaro-Winkler distance of street_name >= 0.92,0.21620723778426237,0.0004538773812730684
jw_tf,address_heavy,severe,split,expand,2,Jaro-Winkler distance of street_name >= 0.7,0.15450176672220986,0.02754984664388773
jw_tf,address_heavy,severe,split,expand,2,All other comparisons,0.0061803522521889954,0.9711752891081716
jw_tf,full,garbled,split,none,0,Exact match on street_name,0.11732887695847981,5.673501115519347e-05
jw_tf,full,garbled,split,none,0,Jaro-Winkler distance of street_name >= 0.92,0.6488414531119422,0.000978830370392804
jw_tf,full,garbled,split,none,0,Jaro-Winkler distance of street_name >= 0.7,0.1573747007870227,0.007382416184620976
jw_tf,full,garbled,split,none,0,All other comparisons,0.07645496914255534,0.991582018433831
jw_tf,full,garbled,split,none,1,Exact match on street_name,0.11083355292739953,3.452848444782746e-05
jw_tf,full,garbled,split,none,1,Jaro-Winkler distance of street_name >= 0.92,0.640213048847295,0.0009536069075591
jw_tf,full,garbled,split,none,1,Jaro-Winkler distance of street_name >= 0.7,0.1670779697091142,0.0078055712679557816
jw_tf,full,garbled,split,none,1,All other comparisons,0.08187542851619134,0.9912062933400373
jw_tf,full,garbled,split,none,2,Exact match on street_name,0.11410141451664664,4.629941914185623e-05
jw_tf,full,garbled,split,none,2,Jaro-Winkler distance of street_name >= 0.92,0.6469725368538817,0.0008962529800261911
jw_tf,full,garbled,split,none,2,Jaro-Winkler distance of street_name >= 0.7,0.159550081573419,0.007908419748937408
jw_tf,full,garbled,split,none,2,All other comparisons,0.07937596705605265,0.9911490278518945
jw_tf,full,garbled,split,abbreviate,0,Exact match on street_name,0.7626839953779201,0.0010557537779414584
jw_tf,full,garbled,split,abbreviate,0,Jaro-Winkler distance of street_name >= 0.92,0.041173433826365874,0.0001432651264429954
jw_tf,full,garbled,split,abbreviate,0,Jaro-Winkler distance of street_name >= 0.7,0.1294623281510694,0.012490514946960846
jw_tf,full,garbled,split,abbreviate,0,All other comparisons,0.06668024264464459,0.9863104661486547
jw_tf,full,garbled,split,abbreviate,1,Exact match on street_name,0.7461993361089527,0.0009767992726344669
jw_tf,full,garbled,split,abbreviate,1,Jaro-Winkler distance of street_name >= 0.92,0.045555395427821006,0.00014615102405410578
jw_tf,full,garbled,split,abbreviate,1,Jaro-Winkler distance of street_name >= 0.7,0.13954039306704544,0.01294981815861673
jw_tf,full,garbled,split,abbreviate,1,All other comparisons,0.06870487539618075,0.9859272315446947
jw_tf,full,garbled,split,abbreviate,2,Exact match on street_name,0.7604974301272822,0.0011009211376858436
jw_tf,full,garbled,split,abbreviate,2,Jaro-Winkler distance of street_name >= 0.92,0.03869944681563961,0.00014561112906701142
jw_tf,full,garbled,split,abbreviate,2,Jaro-Winkler distance of street_name >= 0.7,0.13358464566203804,0.012810202205882353
jw_tf,full,garbled,split,abbreviate,2,All other comparisons,0.06721847739504022,0.9859432655273648
jw_tf,full,garbled,split,expand,0,Exact match on street_name,0.7627217852598093,0.0010937207265141195
jw_tf,full,garbled,split,expand,0,Jaro-Winkler distance of street_name >= 0.92,0.040381801239736406,0.00017945121549842776
jw_tf,full,garbled,split,expand,0,Jaro-Winkler distance of street_name >= 0.7,0.12164297270456229,0.02519081882212354
jw_tf,full,garbled,split,expand,0,All other comparisons,0.07525344079589198,0.9735360092358639
jw_tf,full,garbled,split,expand,1,Exact match on street_name,0.7461824051403445,0.001014737329248053
jw_tf,full,garbled,split,expand,1,Jaro-Winkler distance of street_name >= 0.92,0.04667269538400924,0.00021304098046725392
jw_tf,full,garbled,split,expand,1,Jaro-Winkler distance of street_name >= 0.7,0.128083601071344,0.02626308566321971
jw_tf,full,garbled,split,expand,1,All other comparisons,0.07906129840430234,0.972509136027065
jw_tf,full,garbled,split,expand,2,Exact match on street_name,0.7605780468704371,0.0010220307651267432
jw_tf,full,garbled,split,expand,2,Jaro-Winkler distance of street_name >= 0.92,0.038977921787058445,0.00018402389184480304
jw_tf,full,garbled,split,expand,2,Jaro-Winkler distance of street_name >= 0.7,0.1236535865951458,0.025867965462696086
jw_tf,full,garbled,split,expand,2,All other comparisons,0.07679044474735873,0.9729259798803324
jw_tf,address_heavy,garbled,split,none,0,Exact match on street_name,0.11736422939743854,4.446396136908078e-05
